Datetime,value,rolling_mean,rolling_std,z_score,anomaly
2011-01-31,9103258.0,,,,False
2011-02-28,7943183.0,,,,False
2011-03-31,8194411.0,,,,False
2011-04-30,7365371.0,,,,False
2011-05-31,7759561.0,,,,False
2011-06-30,8828120.0,8198984.0,658328.4657676594,0.9556566861595164,False
2011-07-31,11169228.0,8543312.333333334,1375517.9235359554,1.9090377680549546,False
2011-08-31,10070037.0,8897788.0,1461305.087336111,0.80219319713514,False
2011-09-30,7912727.0,8850840.666666666,1492611.4329135583,-0.6285049450783585,False
2011-10-31,7656275.0,8899324.666666666,1438451.060007071,-0.8641584696392491,False
2011-11-30,7622843.0,8876538.333333334,1461022.6683894629,-0.8580943748910664,False
2011-12-31,8380780.0,8801981.666666666,1475331.555857146,-0.285496277087325,False
2012-01-31,8607940.0,8375100.333333333,919069.8480280321,0.25334273250966804,False
2012-02-29,7864332.0,8007482.833333333,400166.2545140118,-0.35772839843075926,False
2012-03-31,7790787.0,7987159.5,408941.4005026959,-0.480197162132782,False
2012-04-30,7089427.0,7892684.833333333,543884.4837997988,-1.476890511237692,False
2012-05-31,8113252.0,7974419.666666667,531940.4892852894,0.26099222775815945,False
2012-06-30,9485849.0,8158597.833333333,816157.3068225096,1.6262197931351796,False
2012-07-31,11668228.0,8668645.833333334,1666449.2490086127,1.799984108997707,False
2012-08-31,9817714.0,8994209.5,1668697.2284055306,0.49350144890386916,False
2012-09-30,7989125.0,9027265.833333334,1641838.2997137585,-0.6323039446176433,False
2012-10-31,7624504.0,9116445.333333334,1525973.0357903005,-0.9776983592378213,False
2012-11-30,7638869.0,9037381.5,1598893.176427337,-0.8746753820820727,False
2012-12-31,8287959.0,8837733.166666666,1606465.1375652594,-0.3422260177397299,False
2013-01-31,8820291.0,8363077.0,841482.4489418688,0.5433434774247861,False
2013-02-28,7981227.0,8056995.833333333,449041.22229231277,-0.16873469421479909,False
2013-03-31,8256967.0,8101636.166666667,454228.03918491636,0.3419666333502098,False
2013-04-30,7406728.0,8065340.166666667,505757.53397154075,-1.3022290770338332,False
2013-05-31,7869111.0,8103713.833333333,474709.683056259,-0.4942027552986099,False
2013-06-30,8338638.0,8112160.333333333,479074.40724951465,0.4727400655086787,False
2013-07-31,9863866.0,8286089.5,840604.1886478473,1.8769553153642147,False
2013-08-31,9664950.0,8566710.0,986803.4205751433,1.112926827270124,False
2013-09-30,8352656.0,8582658.166666666,981555.6305213524,-0.2343241274511365,False
2013-10-31,7809903.0,8649854.0,894930.6553772768,-0.9385654575056444,False
2013-11-30,7820690.0,8641783.833333334,903555.9673840738,-0.9087359975171436,False
2013-12-31,8964188.0,8746042.166666666,897651.9571612194,0.24301827851321076,False
2014-01-31,9570921.0,8697218.0,830118.9496434844,1.052503379636417,False
2014-02-28,8354850.0,8478868.0,684125.3746771901,-0.18127963760811952,False
2014-03-31,8393429.0,8485663.5,682822.2202362088,-0.13507835168002194,False
2014-04-30,7234428.0,8389751.0,822796.9007481781,-1.4041411664889019,False
2014-05-31,7747571.0,8377564.5,833384.3489518551,-0.7559459219414678,False
2014-06-30,8762290.0,8343914.833333333,808670.5317478649,0.5173617069517652,False
2014-07-31,8938566.0,8238522.333333333,640493.6451252867,1.0929751949837563,False
2014-08-31,9478472.0,8425792.666666666,820327.0726464371,1.283243438421837,False
2014-09-30,7859171.0,8336749.666666667,852891.9394278941,-0.559952139994451,False
2014-10-31,7436634.0,8370450.666666667,803169.211794796,-1.162664919114517,False
2014-11-30,7951543.0,8404446.0,775367.5737081134,-0.5841139291317528,False
2014-12-31,8486529.0,8358485.833333333,757889.91823653,0.1689469190520436,False
2015-01-31,8950402.0,8360458.5,759714.9519315173,0.7765326962436551,False
2015-02-28,8305143.0,8164903.666666667,530940.5809051305,0.26413376256578,False
2015-03-31,7999258.0,8188251.5,517722.85979074787,-0.36504762427602094,False
2015-04-30,7074018.0,8127815.5,631641.8547546635,-1.6683465354101752,False
2015-05-31,7591975.0,8067887.5,667736.77740103,-0.7127247084582493,False
2015-06-30,8197734.0,8019755.0,641414.2190771993,0.27747903726870576,False
2015-07-31,9424488.0,8098769.333333333,790793.5730162953,1.6764408714274526,False
2015-08-31,9267440.0,8259152.166666667,926891.3089553574,1.087816687449268,False
2015-09-30,8489748.0,8340900.5,920996.2229620203,0.16161575508017922,False
2015-10-31,7294482.0,8377644.5,862910.1798763918,-1.255243622407095,False
2015-11-30,7328649.0,8333756.833333333,915928.8318148821,-1.0973645532500005,False
2015-12-31,8002617.0,8301237.333333333,925141.5454404127,-0.32278339979983833,False
2016-01-31,8670843.0,8175629.833333333,782264.3056955736,0.6330509561296338,False
2016-02-29,7825477.0,7935302.666666667,573358.8587007987,-0.19154786744819155,False
2016-03-31,7565961.0,7781338.166666667,515843.9957531596,-0.4175238413935688,False
2016-04-30,7174597.0,7761357.333333333,540219.5209126435,-1.086151667274192,False
2016-05-31,7625303.0,7810799.666666667,505132.19414434984,-0.36722400357174273,False
2016-06-30,9049192.0,7985228.833333333,719730.6641505426,1.4782796116133283,False
2016-07-31,10152298.0,8232138.0,1135816.7380939622,1.690554413929716,False
2016-08-31,10418879.0,8664371.666666666,1410383.3301079052,1.2439932434532537,False
2016-09-30,8553477.0,8828957.666666666,1310661.3609398347,-0.21018447241713709,False
2016-10-31,7428097.0,8871207.666666666,1249316.3756473614,-1.155120268009683,False
2016-11-30,7256587.0,8809755.0,1329362.2463170805,-1.168355731707411,False
2016-12-31,8717757.0,8754515.833333334,1324299.457939692,-0.027757191255308913,False
2017-01-31,8546511.0,8486884.666666666,1133892.2037396096,0.052585539557185916,False
2017-02-28,7153585.0,7942669.0,734386.7366089972,-1.0744801896117642,False
2017-03-31,7811126.0,7818943.833333333,670669.6714957235,-0.011656756918644819,False
2017-04-30,6930897.0,7736077.166666667,754142.3825407132,-1.0676765890732822,False
2017-05-31,7333479.0,7748892.5,744962.1108463949,-0.557630373346135,False
2017-06-30,8743889.0,7753247.833333333,751804.3010072389,1.3176848886597796,False
2017-07-31,9612810.0,7930964.333333333,1045490.7564334942,1.6086662233188789,False
2017-08-31,8905924.0,8223020.833333333,1029533.9078941377,0.6633129432944203,False
2017-09-30,8229831.0,8292805.0,1010036.6708845808,-0.06234823132198552,False
2017-10-31,7470418.0,8382725.166666667,880214.0128085739,-1.0364606259285634,False
2017-11-30,7538269.0,8416856.833333334,834156.1504733822,-1.0532654261851775,False
2017-12-31,8483690.0,8373490.333333333,820404.1846628237,0.1343236281906067,False
2018-01-31,8847943.0,8246012.5,625620.2745809216,0.9621339404372876,False
2018-02-28,7628265.0,8033069.333333333,571150.3606542482,-0.7087526529259877,False
2018-03-31,7794444.0,7960504.833333333,568805.2265327551,-0.2919467430803755,False
2018-04-30,7301136.0,7932291.166666667,601249.2023942978,-1.0497397155011226,False
2018-05-31,8074566.0,8021674.0,570009.8125306363,0.09279138505559886,False
2018-06-30,8731995.0,8063058.166666667,617313.077001757,1.0836265393603983,False
2018-07-31,9904590.0,8239166.0,948102.1730807326,1.7565870507272703,False
2018-08-31,650666.0,7076232.833333333,3273901.023867428,-1.9626637416615829,False
